,Mx,My,Mt
0.046,0.08136070080121935,-0.002897808787430442,-0.00017750871333119646
0.047,0.08172683694927665,-0.0027238429323923202,-0.00018575962694243348
0.048,0.08205172907609043,-0.0024739600571127562,-0.00019665460678359352
0.049,0.08222923592066171,-0.0021903888260285387,-0.00021085201063050286
0.05,0.0821495352878185,-0.0018704861043039728,-0.00022844470896029602
0.051,0.0817779624297964,-0.001542148114759237,-0.0002486606184366534
0.052,0.08115089426815178,-0.0012337885091495693,-0.00026960666477465387
0.053,0.08042744059469725,-0.0010441652329984535,-0.00029111683021726485
0.054,0.07969789892411232,-0.0008774951919404278,-0.00031053394177892935
0.055,0.07909707355499804,-0.0007350004207480193,-0.0003287399114497622
0.056,0.07870628447649101,-0.0006020280777391113,-0.0003452057781825747
0.057,0.07852770504310383,-0.00047542483885791575,-0.00036247599117420967
0.058,0.07848936911647983,-0.00033781987113380707,-0.00038017528505176427
0.059,0.07849996358666245,-0.00017235522298260364,-0.00039861194529223934
0.06,0.07856227658444309,8.754812255526434e-05,-0.00041385701177131884
0.061,0.07866910470364286,0.00039626627672852133,-0.0004301910005419388
0.062,0.07872745233025268,0.0007036073485494204,-0.0004470917837349482
0.063,0.07879224870854905,0.000980418752432377,-0.00046444794903454734
0.064,0.07888379298664433,0.0011998771881320675,-0.00048031068790916264
0.065,0.07900294337957552,0.001395475937892729,-0.0004957374641534574
0.066,0.07910003578810708,0.0015506830690649454,-0.0005106373809329169
0.067,0.07916682768550432,0.0016782513333684565,-0.0005267412709910944
0.068,0.07919478413148656,0.0018142471000406057,-0.0005452432997391592
0.069,0.07917507337266227,0.002052269811142912,-0.0005659144651945481
0.07,0.07911019041822598,0.002273639090950956,-0.0005886701060446092
0.071,0.07911509945473325,0.00259717360291372,-0.0006150292511593197
0.072,0.07919288469063884,0.0029806053088430873,-0.0006435549509907241
0.073,0.07932091002068495,0.0033517726216346216,-0.0006716298651227763
0.074,0.07956335451199406,0.0036910920963726807,-0.0006981887252555839
0.075,0.07988275956460944,0.00395799978863353,-0.000721836934968518
0.076,0.0801793354424811,0.00415558675847582,-0.0007404202645271093
0.077,0.080449201402995,0.004269547585621605,-0.0007551595185343164
0.078,0.08064732916361202,0.0042675162208128115,-0.0007672884050224102
0.079,0.08078697909460412,0.00426886678737487,-0.0007801665000915386
0.08,0.0809087429992895,0.004285663674466721,-0.000796012905809534
0.081,0.08105521103114988,0.004356278206423182,-0.0008134716421729052
0.082,0.08125744132945016,0.004491623530453865,-0.0008336714439275356
0.083,0.08154205019222627,0.004733243010271233,-0.0008586078429073175
0.084,0.08192531604393395,0.0050166801206091745,-0.0008907106228083289
0.085,0.08231320448225743,0.0053234328175629266,-0.0009265561033066493
0.086,0.08264503578250955,0.005625027887326602,-0.0009624016701371097
0.087,0.08287889952822523,0.005857475966032522,-0.0009973925537068557
0.088,0.08298841727480334,0.005987451633269055,-0.0010291144436344055
0.089,0.082957299483236,0.006035754057917207,-0.0010552558527121936
0.09,0.08291504530527768,0.006022986735041421,-0.0010765636159419199
0.091,0.08290513885143025,0.005950284742937444,-0.0010928175391801153
0.092,0.08302728028929073,0.00585286689576741,-0.0011074402252262815
0.093,0.08332683945020786,0.005746638747329285,-0.0011198925817173478
0.094,0.08375325847395558,0.005676859886427873,-0.0011324558352858796
0.095,0.08428731513210846,0.005669308734098707,-0.0011482906771362374
0.096,0.08475172411123243,0.005714610620254263,-0.0011678548577823931
0.097,0.0851005565668837,0.005779599755171502,-0.0011923818214035582
0.098,0.08526059558851064,0.005831854799595911,-0.00121702177806679
0.099,0.08524003131883473,0.005887624040530207,-0.0012431353080971238
0.1,0.08505536475623045,0.005902264771452508,-0.001268304387145716
0.101,0.08486383707939965,0.005858894662671185,-0.0012937429463890202
0.102,0.08480697131258925,0.005778041049269019,-0.001317628072226489
0.103,0.08486799770736146,0.005681372577529877,-0.0013344881293920628
0.104,0.08517687600464492,0.0056079079700677055,-0.0013485402144462033
0.105,0.08565542591956182,0.005534462137151402,-0.0013584021156436365
0.106,0.08612164468977179,0.0054738637372216195,-0.001367400928736936
0.107,0.08656121409020434,0.005435305743007719,-0.0013727862490058073
0.108,0.08677400492765597,0.005406611350353384,-0.0013768700334286098
0.109,0.08677072869837255,0.005356589646540656,-0.00137982433087061
0.11,0.08662497629151197,0.005304671199928855,-0.0013795434656339442
0.111,0.08645543708969287,0.005224677183117997,-0.0013797905555771746
0.112,0.0863606102941242,0.005105359836699436,-0.0013823626710355783
0.113,0.08638898169350094,0.004997491964317523,-0.0013859959854584873
0.114,0.08661057452749203,0.004902334462500681,-0.0013902202471516782
0.115,0.08701766815124506,0.0047957757697369915,-0.0013952338377873433
0.116,0.08753437956293932,0.0047592528062206235,-0.0014008607235035735
0.117,0.08801982778514528,0.004714302373045022,-0.001406096463372246
0.118,0.08832913388236747,0.004671110948067866,-0.0014091517947889855
0.119,0.08842216772647256,0.004614646952247767,-0.0014105260777861372
