,x,y,z
521,1.85948,1.829,0.140223
522,1.85948,1.829,0.152417
523,1.85948,1.829,0.16461
524,1.85948,1.829,0.176803
525,1.85948,1.829,0.188997
526,1.85948,1.829,0.20119
527,1.85948,1.829,0.213383
528,1.85948,1.829,0.225577
529,1.85948,1.829,0.23777
530,1.85948,1.829,0.249963
531,1.85948,1.829,0.262157
532,1.85948,1.829,0.27435
533,1.85948,1.829,0.286543
534,1.85948,1.829,0.298737
535,1.85948,1.829,0.31093
536,1.85948,1.829,0.323123
537,1.85948,1.829,0.335317
538,1.85948,1.829,0.34751
539,1.85948,1.829,0.359703
540,1.87167,1.829,0.00609667
541,1.87167,1.829,0.01829
542,1.87167,1.829,0.0304833
543,1.87167,1.829,0.0426767
544,1.87167,1.829,0.05487
545,1.87167,1.829,0.0670633
546,1.87167,1.829,0.0792567
547,1.87167,1.829,0.09145
548,1.87167,1.829,0.103643
549,1.87167,1.829,0.115837
550,1.87167,1.829,0.12803
551,1.87167,1.829,0.140223
552,1.87167,1.829,0.152417
553,1.87167,1.829,0.16461
554,1.87167,1.829,0.176803
555,1.87167,1.829,0.188997
556,1.87167,1.829,0.20119
557,1.87167,1.829,0.213383
558,1.87167,1.829,0.225577
559,1.87167,1.829,0.23777
560,1.87167,1.829,0.249963
561,1.87167,1.829,0.262157
562,1.87167,1.829,0.27435
563,1.87167,1.829,0.286543
564,1.87167,1.829,0.298737
565,1.87167,1.829,0.31093
566,1.87167,1.829,0.323123
567,1.87167,1.829,0.335317
568,1.87167,1.829,0.34751
569,1.87167,1.829,0.359703
570,1.88386,1.829,0.00609667
571,1.88386,1.829,0.01829
572,1.88386,1.829,0.0304833
573,1.88386,1.829,0.0426767
574,1.88386,1.829,0.05487
575,1.88386,1.829,0.0670633
576,1.88386,1.829,0.0792567
577,1.88386,1.829,0.09145
578,1.88386,1.829,0.103643
579,1.88386,1.829,0.115837
580,1.88386,1.829,0.12803
581,1.88386,1.829,0.140223
582,1.88386,1.829,0.152417
583,1.88386,1.829,0.16461
584,1.88386,1.829,0.176803
585,1.88386,1.829,0.188997
586,1.88386,1.829,0.20119
587,1.88386,1.829,0.213383
588,1.88386,1.829,0.225577
589,1.88386,1.829,0.23777
590,1.88386,1.829,0.249963
591,1.88386,1.829,0.262157
592,1.88386,1.829,0.27435
593,1.88386,1.829,0.286543
594,1.88386,1.829,0.298737
595,1.88386,1.829,0.31093
596,1.88386,1.829,0.323123
597,1.88386,1.829,0.335317
598,1.88386,1.829,0.34751
599,1.88386,1.829,0.359703
600,1.8351,1.8351,0.3658
601,1.8351,1.84729,0.3658
602,1.8351,1.85948,0.3658
603,1.8351,1.87167,0.3658
604,1.8351,1.88386,0.3658
605,1.84729,1.8351,0.3658
606,1.84729,1.84729,0.3658
607,1.84729,1.85948,0.3658
608,1.84729,1.87167,0.3658
609,1.84729,1.88386,0.3658
610,1.85948,1.8351,0.3658
611,1.85948,1.84729,0.3658
612,1.85948,1.85948,0.3658
613,1.85948,1.87167,0.3658
