vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(X),avg(Y),avg(Z),avg(vtkOriginalPointIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(X),max(Y),max(Z),max(vtkOriginalPointIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(X),med(Y),med(Z),med(vtkOriginalPointIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(X),min(Y),min(Z),min(vtkOriginalPointIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(X),q1(Y),q1(Z),q1(vtkOriginalPointIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(X),q3(Y),q3(Z),q3(vtkOriginalPointIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(X),std(Y),std(Z),std(vtkOriginalPointIds),vtkValidPointMask
1,22,1,0.044,0,-0.0688886,1.48964,1.2694,1.95835,0,2,8.2,124,-0.0688886,1.48964,1.2694,1.95835,0,2,8.2,124,-0.0688886,1.48964,1.2694,1.95835,0,2,8.2,124,-0.0688886,1.48964,1.2694,1.95835,0,2,8.2,124,-0.0688886,1.48964,1.2694,1.95835,0,2,8.2,124,-0.0688886,1.48964,1.2694,1.95835,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,23,1,0.046,0,-0.0993683,1.82073,1.19597,2.18066,0,2,8.2,124,-0.0993683,1.82073,1.19597,2.18066,0,2,8.2,124,-0.0993683,1.82073,1.19597,2.18066,0,2,8.2,124,-0.0993683,1.82073,1.19597,2.18066,0,2,8.2,124,-0.0993683,1.82073,1.19597,2.18066,0,2,8.2,124,-0.0993683,1.82073,1.19597,2.18066,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,24,1,0.048,0,-0.215034,2.02883,1.2675,2.40186,0,2,8.2,124,-0.215034,2.02883,1.2675,2.40186,0,2,8.2,124,-0.215034,2.02883,1.2675,2.40186,0,2,8.2,124,-0.215034,2.02883,1.2675,2.40186,0,2,8.2,124,-0.215034,2.02883,1.2675,2.40186,0,2,8.2,124,-0.215034,2.02883,1.2675,2.40186,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,25,1,0.05,0,-0.154671,1.96194,1.33423,2.37767,0,2,8.2,124,-0.154671,1.96194,1.33423,2.37767,0,2,8.2,124,-0.154671,1.96194,1.33423,2.37767,0,2,8.2,124,-0.154671,1.96194,1.33423,2.37767,0,2,8.2,124,-0.154671,1.96194,1.33423,2.37767,0,2,8.2,124,-0.154671,1.96194,1.33423,2.37767,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,26,1,0.052,0,0.181367,1.65479,1.25828,2.08674,0,2,8.2,124,0.181367,1.65479,1.25828,2.08674,0,2,8.2,124,0.181367,1.65479,1.25828,2.08674,0,2,8.2,124,0.181367,1.65479,1.25828,2.08674,0,2,8.2,124,0.181367,1.65479,1.25828,2.08674,0,2,8.2,124,0.181367,1.65479,1.25828,2.08674,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,27,1,0.054,0,0.617494,1.32306,1.07415,1.81262,0,2,8.2,124,0.617494,1.32306,1.07415,1.81262,0,2,8.2,124,0.617494,1.32306,1.07415,1.81262,0,2,8.2,124,0.617494,1.32306,1.07415,1.81262,0,2,8.2,124,0.617494,1.32306,1.07415,1.81262,0,2,8.2,124,0.617494,1.32306,1.07415,1.81262,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,28,1,0.056,0,0.87793,1.1786,0.930202,1.73929,0,2,8.2,124,0.87793,1.1786,0.930202,1.73929,0,2,8.2,124,0.87793,1.1786,0.930202,1.73929,0,2,8.2,124,0.87793,1.1786,0.930202,1.73929,0,2,8.2,124,0.87793,1.1786,0.930202,1.73929,0,2,8.2,124,0.87793,1.1786,0.930202,1.73929,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,29,1,0.058,0,0.863752,1.27313,0.894487,1.77962,0,2,8.2,124,0.863752,1.27313,0.894487,1.77962,0,2,8.2,124,0.863752,1.27313,0.894487,1.77962,0,2,8.2,124,0.863752,1.27313,0.894487,1.77962,0,2,8.2,124,0.863752,1.27313,0.894487,1.77962,0,2,8.2,124,0.863752,1.27313,0.894487,1.77962,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,30,1,0.06,0,0.736388,1.53098,0.885557,1.91582,0,2,8.2,124,0.736388,1.53098,0.885557,1.91582,0,2,8.2,124,0.736388,1.53098,0.885557,1.91582,0,2,8.2,124,0.736388,1.53098,0.885557,1.91582,0,2,8.2,124,0.736388,1.53098,0.885557,1.91582,0,2,8.2,124,0.736388,1.53098,0.885557,1.91582,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,31,1,0.062,0,0.729433,1.88716,0.810064,2.17937,0,2,8.2,124,0.729433,1.88716,0.810064,2.17937,0,2,8.2,124,0.729433,1.88716,0.810064,2.17937,0,2,8.2,124,0.729433,1.88716,0.810064,2.17937,0,2,8.2,124,0.729433,1.88716,0.810064,2.17937,0,2,8.2,124,0.729433,1.88716,0.810064,2.17937,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,32,1,0.064,0,0.904164,2.33325,0.700297,2.59846,0,2,8.2,124,0.904164,2.33325,0.700297,2.59846,0,2,8.2,124,0.904164,2.33325,0.700297,2.59846,0,2,8.2,124,0.904164,2.33325,0.700297,2.59846,0,2,8.2,124,0.904164,2.33325,0.700297,2.59846,0,2,8.2,124,0.904164,2.33325,0.700297,2.59846,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,33,1,0.066,0,1.11013,2.83331,0.649999,3.11168,0,2,8.2,124,1.11013,2.83331,0.649999,3.11168,0,2,8.2,124,1.11013,2.83331,0.649999,3.11168,0,2,8.2,124,1.11013,2.83331,0.649999,3.11168,0,2,8.2,124,1.11013,2.83331,0.649999,3.11168,0,2,8.2,124,1.11013,2.83331,0.649999,3.11168,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,34,1,0.068,0,1.17547,3.26771,0.642172,3.53158,0,2,8.2,124,1.17547,3.26771,0.642172,3.53158,0,2,8.2,124,1.17547,3.26771,0.642172,3.53158,0,2,8.2,124,1.17547,3.26771,0.642172,3.53158,0,2,8.2,124,1.17547,3.26771,0.642172,3.53158,0,2,8.2,124,1.17547,3.26771,0.642172,3.53158,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,35,1,0.07,0,1.10497,3.51495,0.531793,3.72272,0,2,8.2,124,1.10497,3.51495,0.531793,3.72272,0,2,8.2,124,1.10497,3.51495,0.531793,3.72272,0,2,8.2,124,1.10497,3.51495,0.531793,3.72272,0,2,8.2,124,1.10497,3.51495,0.531793,3.72272,0,2,8.2,124,1.10497,3.51495,0.531793,3.72272,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,36,1,0.072,0,1.07031,3.5662,0.239477,3.73104,0,2,8.2,124,1.07031,3.5662,0.239477,3.73104,0,2,8.2,124,1.07031,3.5662,0.239477,3.73104,0,2,8.2,124,1.07031,3.5662,0.239477,3.73104,0,2,8.2,124,1.07031,3.5662,0.239477,3.73104,0,2,8.2,124,1.07031,3.5662,0.239477,3.73104,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,37,1,0.074,0,1.20959,3.50491,-0.0958489,3.709,0,2,8.2,124,1.20959,3.50491,-0.0958489,3.709,0,2,8.2,124,1.20959,3.50491,-0.0958489,3.709,0,2,8.2,124,1.20959,3.50491,-0.0958489,3.709,0,2,8.2,124,1.20959,3.50491,-0.0958489,3.709,0,2,8.2,124,1.20959,3.50491,-0.0958489,3.709,0,2,8.2,124,0,0,0,0,0,0,0,0,1
